input_history,input_question,agent_response,detected_intent,tools_called,is_correct1,is_correct,violations
[],請問你們的退換貨政策是什麼？,"JTCG Shop 提供 7 天鑑賞期（含例假日）。商品需保持全新、完整包裝與配件。若非商品瑕疵而退換貨，可能需自行負擔來回運費。

這樣的政策能保障您的權益，同時也確保商品品質。若有其他問題，歡迎隨時聯繫我們！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-4']
[],保固多久？維修怎麼申請？,"我們的臂架與支架類商品享有1年有限保固。若非人為損壞，您可以提供訂單編號或發票資訊，申請檢測與維修。申請時請準備訂單編號及故障影片或照片，並在線上提交RMA表單，客服會在工作日內回覆您檢測與處理方式。  

若需要協助，歡迎隨時聯絡我們！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-4']
[],發票可以開三聯式嗎？要怎麼填統編？,"您好，我們提供電子發票，若您需要三聯式發票，請於下單時備註統一編號與抬頭，我們會依照您提供的資訊開立。  
填寫統編時，請直接於備註欄輸入正確的統一編號即可。  
若有其他問題，歡迎隨時聯繫我們！  
「Better Desk, Better Focus」祝您購物愉快！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],出貨大概幾天？有免運嗎？,"現貨商品通常會在1到2個工作天內出貨。標準運送訂單滿NT$1,500即可享有免運費服務，離島或外島運費則另計。若有其他問題，歡迎隨時詢問！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],VESA 100x100 的螢幕可以用哪支臂？,"VESA 100x100 的螢幕可以使用以下幾款支臂：
1. JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）
2. JTCG 單臂支架 Lite（支援至 27 吋）
3. JTCG 超寬螢幕重載臂（支援至 49 吋）
4. JTCG 筆電托盤＋VESA 轉接組（可搭配任一支臂使用）

您可以依照螢幕尺寸與重量選擇合適的支臂。若需要，我可以提供連結給您參考。",product_search,[],,False,['R-4']
[],我的桌板厚 85mm，夾具能裝嗎？,"您的桌板厚度85mm，夾具是可以安裝的。建議厚度範圍是10到85mm，若桌板材質為玻璃或軟木，建議使用墊片或改用穿孔固定方式以確保穩固。

如果需要，我們也可以協助您選擇合適的安裝方式。  
有其他問題歡迎隨時告訴我！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-3']
[],我要找真人客服,我可以幫您處理這個流程。請問您的電子郵件地址是？,human_handover,[],,True,[]
[],轉真人，謝謝,我可以幫您處理這個流程。請問您的電子郵件地址是？,human_handover,[],,True,[]
[],human agent please,I can help with that. What is your email?,human_handover,[],,True,[]
[],connect to agent,I can help with that. What is your email?,human_handover,[],,True,[]
[],我想要推薦雙螢幕支架，27 吋,"推薦您使用「JTCG 雙螢幕氣壓支架 Pro（支援至 32 吋）」，適合一般 24~32 吋螢幕，27 吋也完全相容，且支撐力強，安裝穩固。您可以參考這個連結了解詳情：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

這款支架專為雙螢幕設計，氣壓調整方便，能提升桌面整潔與使用舒適度。  
若需要其他建議也歡迎告訴我！",product_search,[],,True,[]
[],34 吋曲面螢幕適合哪一款臂架？,"34 吋曲面螢幕建議使用「JTCG 超寬螢幕重載臂（至 49 吋）」，適用 34~49 吋超寬曲面螢幕，請確認螢幕重量與 VESA 規格以確保相容。

產品連結：[JTCG 超寬螢幕重載臂](https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49)

這款臂架專為大尺寸曲面螢幕設計，承重範圍足夠且支援常見 VESA 安裝孔距。",product_search,[],,True,[]
[],49 吋超寬螢幕有支援的重載臂嗎？,"我們有支援49吋超寬螢幕的重載臂，型號為「JTCG 超寬螢幕重載臂（至49吋）」，適用34至49吋超寬曲面螢幕，承重範圍5-18公斤，支援VESA 100x100及200x100，桌面厚度20-90毫米。您可以參考這款產品：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果需要，我可以協助您進一步了解或下單。",product_search,[],,True,[]
[],要壁掛有推薦嗎？,"我們推薦這款壁掛式伸縮臂「JTCG 壁掛式伸縮臂（至 34 吋）」，適合承重2-12公斤，支援75x75及100x100 VESA標準。安裝時建議使用堅固牆面與水平儀確保安全。您可以參考這個連結了解更多：https://example.com/jtcg/p/JTCG-WALL-ARM-34

若有其他需求也歡迎告訴我！",product_search,[],,True,[]
