input_history,input_question,agent_response,detected_intent,tools_called,is_correct
[],請問你們的退換貨政策是什麼？,我們提供7天鑑賞期（含例假日），商品需保持全新、完整包裝與配件。非瑕疵退換貨可能需自行負擔來回運費。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],保固多久？維修怎麼申請？,我們的產品享有1年的有限保固。維修申請需提供訂單編號或發票資訊，並備妥故障影片或照片，透過線上表單提交RMA。客服會在工作日內回覆檢測與處理方式。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],發票可以開三聯式嗎？要怎麼填統編？,"您好，JTCG Shop 提供電子發票，若需三聯式發票，請在下單時備註統編與抬頭。若遺漏，出貨前可聯繫客服協助補辦。  

說明：我們主要提供電子發票，並可開立三聯式發票，需在訂購時備註相關資訊，方便我們為您準備。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],出貨大概幾天？有免運嗎？,"出貨時間約為1-2個工作天，預購商品則依頁面標示為準。滿NT$1,500即可享免運，離島或外島運費另計。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],VESA 100x100 的螢幕可以用哪支臂？,您可以考慮使用JTCG 超寬螢幕重載臂（至 49 吋），它支持 VESA 100x100，適合較大且重量較重的螢幕。詳情請點擊[這裡](https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49)。,product_search,[],
[],我的桌板厚 85mm，夾具能裝嗎？,根據資料，夾具建議安裝於10至85mm厚的桌板。您的桌板厚度為85mm，屬於上限範圍內，應該可以安裝，但建議確認夾具的最大夾持深度是否符合您的需求。如有特殊情況，建議使用穿孔固定或加裝延伸固定片以確保穩固。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],我要找真人客服,您好，我可以協助您。請問您的電子郵件地址是？,human_handover,[],
[],轉真人，謝謝,您好，我可以協助您。請問您的電子郵件地址是？,human_handover,[],
[],human agent please,I can transfer you. What is your email?,human_handover,[],
[],connect to agent,I can transfer you. What is your email?,human_handover,[],
[],我想要推薦雙螢幕支架，27 吋,我推薦您可以參考JTCG雙螢幕氣壓支架Pro（支援至32吋），適合27吋螢幕，具有穩定性與調整靈活性。您可以點擊以下連結了解詳情：[JTCG 雙螢幕氣壓支架Pro](https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32)。,product_search,[],
[],34 吋曲面螢幕適合哪一款臂架？,"建議您選擇JTCG 超寬螢幕重載臂（至49吋），它適用於34-49吋超寬曲面螢幕，並且具有較高的承重能力與VESA兼容性。您可以參考此連結了解詳情：[點此查看](https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49)。  

這款臂架專為大型螢幕設計，能提供穩定支撐與調整，讓您的工作空間更整潔、更具彈性。",product_search,[],
[],49 吋超寬螢幕有支援的重載臂嗎？,"Yes, the JTCG 超寬螢幕重載臂 (SKU: JTCG-ARM-ULTRAWIDE-49) supports 49-inch ultra-wide monitors. You can find more details and purchase it [here](https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49).",product_search,[],
[],要壁掛有推薦嗎？,"我們推薦幾款壁掛支架，包括JTCG壁掛式折疊支架（適用於34吋以下）和超寬屏重載壁掛支架（適用於34-49吋）。您可以根據螢幕尺寸和需求選擇。詳細資訊請點擊以下連結：
- [壁掛式折疊支架（34吋以下）](https://example.com/jtcg/p/JTCG-WALL-ARM-34)
- [超寬屏重載壁掛支架（34-49吋）](https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49)

如果需要更詳細的建議，請提供您的螢幕尺寸或其他需求！",product_search,[],
[],有沒有筆電托盤可以接 VESA？,我們的筆電托盤類配件可以搭配 VESA 轉接板或支架，並支援常見的 VESA 75×75 和 100×100 規格。請確認托盤或轉接板的負重與尺寸範圍後再安裝。如需詳細資訊，請告知您的需求，我可以協助您找到適合的產品。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],走線管理套件有賣嗎？,"我們有走線管理套件，您可以參考以下產品：
- [桌面走線管管理組](https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT)
- [桌面走線管管理套件](https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT)

這些產品適用於整理桌面走線，讓您的工作空間更整潔。請點擊連結了解詳細資訊！",product_search,[],
[],請問可用 Apple Pay 或 LINE Pay 嗎？,"您好，JTCG Shop 支援 Apple Pay 和 LINE Pay 付款方式。  

我們提供多元的支付選擇，讓您購物更方便。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],可以分期付款嗎？,"是的，JTCG Shop 支援信用卡（VISA / Master / JCB）、Apple Pay、Google Pay 和 LINE Pay 的分期付款。部分銀行提供3、6、12期的分期選擇，實際手續費與門檻請以結帳頁提示為準。

這樣可以幫助您更方便地進行購買，符合我們的品牌理念“Better Desk, Better Focus”。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],海外寄送香港可以嗎？,您好，我們目前主要配送台灣本島，離島/外島運費與時程會在結帳時顯示。海外配送可以先透過客服評估可行方案與預估費用。請聯繫客服了解詳細資訊。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],缺貨能設定到貨通知嗎？,"是的，您可以在商品頁點選「到貨通知我」，系統會在商品補貨後以Email通知您。提醒僅代表商品已可下單，實際購買仍以結帳成功為準。

這樣設置可以讓您在商品缺貨時提前知道何時補貨，方便您及時購買。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
[],有提供到府安裝嗎？,我們在特定地區提供到府安裝服務，費用依地區與安裝難度而定。建議您下單前先與客服確認是否支援。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],
